"filename", "language", "JSON", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/server/package-lock.json", "JSON", -6005, 6005, 0, 0
"Total", "-", -6005, 6005, 0, 0
