"filename", "language", "TypeScript JSX", "JSON", "XML", "TypeScript", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProgressCircle.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 9, 62
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/StyledIcons.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 14, 91
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/Themes.tsx", "TypeScript JSX", 91, 0, 0, 0, 1, 1, 93
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/globalStyles.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 2, 30
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Toggler.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 5, 40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/custom.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/config.json", "JSON", 0, 5, 0, 0, 0, 1, 6
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/friends/conversationsSlice.tsx", "TypeScript JSX", 32, 0, 0, 0, 1, 7, 40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/messages/messagesSlice.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 5, 50
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/followingsPostsSlice.tsx", "TypeScript JSX", 73, 0, 0, 0, 1, 8, 82
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/userPostsSlice.tsx", "TypeScript JSX", 45, 0, 0, 0, 1, 8, 54
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/user/userSlice.tsx", "TypeScript JSX", 36, 0, 0, 0, 1, 7, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateMessageRoute.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 9, 47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateRoute.tsx", "TypeScript JSX", 31, 0, 0, 0, 1, 9, 41
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useIsLogedIn.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 6, 55
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useResendEmialConfirmation.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 3, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignIn.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 8, 67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignUp.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 10, 80
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/main/useGetSubscribersPosts.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 6, 36
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useCreateConversation.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 6, 36
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useMessageLoad.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 3, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useSendFile.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 6, 56
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/profile/useGetPosts.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 3, 30
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/useFetch.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 11, 47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/users/useGetUsers.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 8, 68
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useDarkMode.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 6, 27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useOutsideAlerter.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 3, 17
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useSocketSetup.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 8, 82
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/index.tsx", "TypeScript JSX", 25, 0, 0, 0, 2, 3, 30
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/likes/like.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 1, 21
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/main/generateMasonryGrid.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 4, 53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/installFile.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 1, 33
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/sendMessage.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 8, 39
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/leftArrow.svg", "XML", 0, 0, 42, 0, 1, 1, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/messangerIcon.svg", "XML", 0, 0, 49, 0, 1, 1, 51
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/EmailConfirmation.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 12, 76
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsContainer.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 5, 58
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Friends/FriendsPresentational.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 7, 64
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginContainer.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 5, 65
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginPresentational.tsx", "TypeScript JSX", 200, 0, 0, 0, 0, 14, 214
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainContainer.tsx", "TypeScript JSX", 52, 0, 0, 0, 1, 9, 62
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainPresentational.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 9, 53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Messanger.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 9, 92
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/NotFound.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 1, 7
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordReset.tsx", "TypeScript JSX", 132, 0, 0, 0, 6, 12, 150
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/PasswordResetRequest.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 11, 136
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfileContainer.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 7, 52
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfilePresentational.tsx", "TypeScript JSX", 121, 0, 0, 0, 26, 11, 158
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationContainer.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 7, 80
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationPresentational.tsx", "TypeScript JSX", 189, 0, 0, 0, 0, 6, 195
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/socket.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 2, 8
"Total", "-", 5752, 5, 91, 4, 116, 693, 6661
