"filename", "language", "TypeScript JSX", "TypeScript React", "JSON with Comments", "JSON", "CSS", "Properties", "HTML", "Markdown", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateRoute.tsx", "TypeScript JSX", -44, 0, 0, 0, 0, 0, 0, 0, 0, -1, -45
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useIsLogedIn.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useResendEmialConfirmation.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignIn.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/authorization/useSignUp.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/main/useGetSubscribersPosts.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useMessageLoad.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/messanger/useSendFile.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/useFetch.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/fetchHooks/users/useGetUsers.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useMessageLoad.tsx", "TypeScript React", 0, -37, 0, 0, 0, 0, 0, 0, 0, -5, -42
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useSocketSetup.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
