"filename", "language", "TypeScript React", "TypeScript", "JSON", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/App.tsx", "TypeScript React", 23, 0, 0, 0, 4, 27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/app/hooks.tsx", "TypeScript React", 5, 0, 0, 1, 1, 7
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/app/store.tsx", "TypeScript React", 13, 0, 0, 2, 3, 18
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Contacts/ContactsContainer.tsx", "TypeScript React", 30, 0, 0, 0, 5, 35
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Contacts/ContactsPresentaional.tsx", "TypeScript React", 66, 0, 0, 0, 5, 71
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/ConversationPresentational.tsx", "TypeScript React", 154, 0, 0, 0, 11, 165
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/ConversationsContainer.tsx", "TypeScript React", 74, 0, 0, 0, 13, 87
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Dashboard.tsx", "TypeScript React", 30, 0, 0, 26, 2, 58
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Header.tsx", "TypeScript React", 66, 0, 0, 0, 6, 72
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ImagesSwiper.tsx", "TypeScript React", 43, 0, 0, 18, 6, 67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ModalToAddPost.tsx", "TypeScript React", 117, 0, 0, 14, 22, 153
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Posts/PostsContainer.tsx", "TypeScript React", 29, 0, 0, 2, 7, 38
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Posts/PostsPresentational.tsx", "TypeScript React", 6, 0, 0, 0, 4, 10
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/Themes.tsx", "TypeScript React", 27, 0, 0, 0, 1, 28
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/globalStyles.tsx", "TypeScript React", 9, 0, 0, 0, 1, 10
