"filename", "language", "TypeScript React", "XML", "TypeScript", "JSON", "JSON with Comments", "CSS", "Properties", "HTML", "Markdown", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsContainer.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsPresentational.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsSwiper.tsx", "TypeScript React", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/StyledIcons.tsx", "TypeScript React", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 89
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/Themes.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/globalStyles.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Toggler.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/custom.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/config.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/friends/conversationsSlice.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/messages/messagesSlice.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/followingsPostsSlice.tsx", "TypeScript React", 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 72
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/userPostsSlice.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 48
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/user/userSlice.tsx", "TypeScript React", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hocs/PrivateRoute.tsx", "TypeScript React", 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 92
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useDarkMode.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useMessageLoad.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/hooks/useSocketSetup.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/index.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/main/generateMasonryGrid.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/lib/messanger/sendMessage.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/leftArrow.svg", "XML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 1, 44
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/otherFiles/messangerIcon.svg", "XML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 1, 51
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/EmailConfirmation.tsx", "TypeScript React", 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 89
