"filename", "language", "JavaScript", "Pug", "JSON", "TypeScript JSX", "TypeScript", "XML", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsContainer.tsx", "TypeScript JSX", 0, 0, 0, -48, 0, 0, 0, -9, -57
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsPresentational.tsx", "TypeScript JSX", 0, 0, 0, -68, 0, 0, 0, -7, -75
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsSwiper.tsx", "TypeScript JSX", 0, 0, 0, -47, 0, 0, 0, -7, -54
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProgressCircle.tsx", "TypeScript JSX", 0, 0, 0, -53, 0, 0, 0, -9, -62
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/StyledIcons.tsx", "TypeScript JSX", 0, 0, 0, -77, 0, 0, 0, -14, -91
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/Themes.tsx", "TypeScript JSX", 0, 0, 0, -99, 0, 0, -1, -1, -101
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/globalStyles.tsx", "TypeScript JSX", 0, 0, 0, -29, 0, 0, 0, -2, -31
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ThreeDotsMenu.tsx", "TypeScript JSX", 0, 0, 0, -104, 0, 0, 0, -7, -111
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Toggler.tsx", "TypeScript JSX", 0, 0, 0, -35, 0, 0, 0, -5, -40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/custom.d.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, -4
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/friends/conversationsSlice.tsx", "TypeScript JSX", 0, 0, 0, -32, 0, 0, -1, -7, -40
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/messages/messagesSlice.tsx", "TypeScript JSX", 0, 0, 0, -45, 0, 0, 0, -5, -50
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/accountPostsSlice.tsx", "TypeScript JSX", 0, 0, 0, -62, 0, 0, -1, -7, -70
